order_date,region,category,quantity,sales,profit
2023-01-14,West,Office Supplies,8,169.44,47.84
2023-01-14,Central,Furniture,8,60.74,10.94
2023-01-15,East,Office Supplies,7,319.91,3.13
2023-01-15,East,Technology,5,48.33,0.52
2023-01-15,West,Furniture,7,418.16,63.87
2023-01-15,Central,Technology,2,225.85,37.75
2023-01-15,South,Office Supplies,8,334.91,58.9
2023-01-16,West,Office Supplies,1,291.93,87.08
2023-01-16,Central,Furniture,6,272.42,-19.59
2023-01-16,South,Office Supplies,8,588.4,171.47
2023-01-17,East,Technology,6,355.06,44.95
2023-01-17,West,Office Supplies,8,54.65,0.56
2023-01-17,Central,Furniture,9,97.94,12.71
2023-01-17,West,Technology,7,241.18,46.44
2023-01-17,Central,Technology,4,60.19,3.39
2023-01-17,West,Furniture,8,110.08,1.4
2023-01-18,Central,Office Supplies,1,190.45,53.56
2023-01-18,Central,Technology,4,425.71,101.64
2023-01-19,Central,Furniture,2,61.87,20.56
2023-01-19,Central,Furniture,1,102.88,1.77
2023-01-20,Central,Office Supplies,7,95.3,27.23
2023-01-20,West,Office Supplies,9,174.09,19.15
2023-01-20,South,Technology,4,210.84,7.57
2023-01-21,Central,Technology,5,118.03,38.15
2023-01-21,Central,Office Supplies,9,127.94,-4.82
2023-01-21,Central,Office Supplies,6,103.74,29.01
2023-01-21,East,Technology,7,77.6,-2.56
2023-01-22,East,Furniture,3,312.8,85.26
2023-01-22,West,Office Supplies,1,107.12,16.01
2023-01-22,East,Technology,4,70.85,6.41
2023-01-22,West,Furniture,2,722.04,220.23
2023-01-22,East,Office Supplies,8,55.33,1.14
2023-01-23,South,Furniture,4,71.29,-1.63
2023-01-23,South,Furniture,3,299.26,88.55
2023-01-23,West,Office Supplies,3,109.55,-6.09
2023-01-23,Central,Office Supplies,8,98.88,6.43
2023-01-24,Central,Office Supplies,9,245.52,-24.43
2023-01-25,Central,Office Supplies,6,647.58,-19.5
2023-01-25,East,Office Supplies,8,59.78,13.77
2023-01-25,West,Office Supplies,3,570.28,-36.83
2023-01-25,West,Office Supplies,7,628.67,-28.81
2023-01-26,West,Furniture,8,233.57,5.6
2023-01-26,West,Furniture,6,463.84,159.7
2023-01-27,West,Office Supplies,1,121.86,-7.64
2023-01-27,West,Furniture,8,133.45,3.81
2023-01-27,West,Office Supplies,4,426.39,118.26
2023-01-28,Central,Office Supplies,6,57.92,-4.98
2023-01-28,Central,Office Supplies,5,113.29,28.16
2023-01-28,East,Office Supplies,1,145.14,6.86
2023-01-28,South,Technology,6,193.54,49.62
2023-01-28,Central,Technology,4,393.06,50.44
2023-01-29,West,Furniture,5,66.8,-5.5
2023-01-29,West,Office Supplies,1,199.83,-18.18
2023-01-29,South,Office Supplies,4,79.28,17.41
2023-01-29,West,Office Supplies,2,59.29,10.51
2023-01-29,East,Office Supplies,9,147.86,33.51
2023-01-29,East,Office Supplies,7,36.11,1.08
2023-01-31,West,Furniture,9,193.5,23.66
2023-02-01,South,Office Supplies,8,556.97,52.72
2023-02-02,South,Technology,5,234.61,48.74
2023-02-02,West,Office Supplies,4,570.29,185.79
2023-02-02,East,Furniture,5,389.99,-11.58
2023-02-03,East,Office Supplies,6,538.82,97.8
2023-02-03,East,Office Supplies,5,585.48,26.18
2023-02-03,East,Furniture,3,53.7,7.66
2023-02-04,East,Office Supplies,8,245.96,75.96
2023-02-04,East,Technology,1,451.51,42.26
2023-02-04,West,Furniture,6,131.25,-10.07
2023-02-04,East,Office Supplies,6,205.66,1.72
2023-02-05,East,Technology,3,47.06,3.8
2023-02-05,East,Office Supplies,4,257.38,12.59
2023-02-06,East,Technology,8,21.47,4.49
2023-02-06,West,Office Supplies,2,245.27,68.92
2023-02-06,East,Office Supplies,9,143.58,30.44
2023-02-06,East,Technology,2,149.67,31.41
2023-02-06,West,Office Supplies,3,645.75,138.77
2023-02-07,South,Technology,5,130.15,31.95
2023-02-07,West,Office Supplies,5,240.26,-16.14
2023-02-08,West,Furniture,5,166.64,18.15
2023-02-08,South,Office Supplies,9,129.16,38.9
2023-02-08,East,Furniture,8,92.19,-9.16
2023-02-08,West,Furniture,1,269.04,36.23
2023-02-08,South,Technology,4,54.09,12.11
2023-02-08,West,Technology,5,124.85,5.87
2023-02-08,East,Furniture,2,168.04,57.61
2023-02-08,Central,Furniture,5,566.41,-25.84
2023-02-08,East,Technology,8,245.54,29.18
2023-02-08,South,Office Supplies,7,1163.91,337.5
2023-02-09,South,Furniture,5,18.53,-0.66
2023-02-09,Central,Furniture,8,462.43,-3.59
2023-02-09,East,Office Supplies,6,257.48,55.61
2023-02-09,Central,Office Supplies,5,266.46,6.89
2023-02-09,East,Furniture,5,124.36,-0.89
2023-02-10,Central,Office Supplies,3,206.55,16.17
2023-02-10,Central,Furniture,4,203.07,-11.32
2023-02-10,West,Technology,8,115.17,24.59
2023-02-10,West,Technology,4,259.79,11.84
2023-02-11,East,Technology,5,177.02,44.52
2023-02-11,West,Furniture,6,139.25,29.35
2023-02-11,West,Furniture,4,414.83,22.14
2023-02-11,Central,Furniture,6,46.08,8.49
2023-02-12,East,Technology,2,129.22,26.86
2023-02-12,West,Office Supplies,2,27.94,9.44
2023-02-13,Central,Office Supplies,2,152.73,23.93
2023-02-15,West,Office Supplies,6,206.03,58.53
2023-02-15,Central,Technology,5,90.83,6.94
2023-02-15,Central,Office Supplies,2,279.08,30.57
2023-02-15,East,Office Supplies,1,140.12,31.46
2023-02-16,South,Technology,5,58.09,10.61
2023-02-16,West,Furniture,2,322.51,14.58
2023-02-16,East,Office Supplies,8,250.36,82.48
2023-02-16,Central,Furniture,7,445.92,92.11
2023-02-16,East,Office Supplies,6,182.63,17.93
2023-02-16,South,Technology,8,187.48,20.75
2023-02-16,West,Office Supplies,4,275.72,95.4
2023-02-17,East,Furniture,7,91.02,-8.29
2023-02-17,East,Office Supplies,1,254.69,-0.94
2023-02-18,East,Furniture,5,24.34,-1.29
2023-02-18,West,Furniture,6,289.61,51.53
2023-02-20,Central,Office Supplies,2,294.42,41.28
2023-02-20,East,Technology,1,258.55,-5.4
2023-02-20,West,Furniture,4,636.25,-38.54
2023-02-20,South,Office Supplies,6,324.56,-14.94
2023-02-20,South,Office Supplies,4,142.7,13.67
2023-02-22,West,Technology,1,491.02,-45.08
2023-02-22,West,Office Supplies,8,365.93,8.33
2023-02-22,South,Office Supplies,2,120.31,-11.54
2023-02-22,South,Office Supplies,8,228.89,9.88
2023-02-22,West,Technology,4,276.34,84.18
2023-02-23,South,Office Supplies,1,348.12,48.27
2023-02-23,West,Technology,7,253.92,1.63
2023-02-23,South,Furniture,1,111.71,33.06
2023-02-23,West,Office Supplies,7,127.35,27.81
2023-02-23,East,Office Supplies,6,209.81,-20.73
2023-02-24,East,Furniture,8,76.99,-2.49
2023-02-24,West,Office Supplies,9,384.32,-26.83
2023-02-24,West,Technology,7,237.24,-8.74
2023-02-25,West,Office Supplies,2,203.03,57.0
2023-02-25,Central,Furniture,6,333.91,-17.06
2023-02-27,South,Office Supplies,4,276.55,40.3
2023-02-27,West,Office Supplies,7,133.59,-3.22
2023-02-27,Central,Office Supplies,3,139.04,18.4
2023-02-27,Central,Technology,2,263.53,-21.5
2023-02-28,South,Furniture,5,341.28,117.71
2023-02-28,East,Furniture,3,448.85,126.75
2023-02-28,West,Office Supplies,5,272.72,42.3
2023-02-28,Central,Furniture,2,375.62,90.2
2023-03-01,East,Technology,8,130.49,42.96
2023-03-02,West,Furniture,6,81.77,-0.21
2023-03-02,West,Technology,9,55.96,0.64
2023-03-02,Central,Furniture,6,124.53,27.83
2023-03-03,Central,Furniture,7,297.62,96.19
2023-03-03,East,Office Supplies,7,136.21,-1.5
2023-03-03,West,Technology,8,186.86,19.3
2023-03-04,West,Office Supplies,6,502.38,122.38
2023-03-04,West,Furniture,7,188.35,46.57
2023-03-04,East,Furniture,3,155.06,13.18
2023-03-04,Central,Technology,2,643.83,170.87
2023-03-05,South,Furniture,9,319.0,19.68
2023-03-06,West,Furniture,8,200.65,37.27
2023-03-06,East,Office Supplies,2,281.9,37.52
2023-03-07,West,Furniture,6,52.36,16.86
2023-03-08,East,Furniture,5,177.36,-17.29
2023-03-10,West,Office Supplies,7,146.33,22.76
2023-03-10,West,Office Supplies,7,206.44,9.55
2023-03-10,West,Technology,4,328.07,30.81
2023-03-10,South,Office Supplies,6,278.27,26.15
2023-03-10,Central,Furniture,3,23.62,-0.38
2023-03-11,Central,Technology,3,927.68,270.89
2023-03-13,East,Furniture,7,740.24,83.76
2023-03-13,West,Office Supplies,6,223.52,65.23
2023-03-13,East,Office Supplies,7,126.26,19.77
2023-03-14,East,Office Supplies,1,448.63,-15.76
2023-03-14,West,Office Supplies,1,144.78,0.04
2023-03-14,East,Technology,8,100.59,0.43
2023-03-15,West,Office Supplies,7,72.16,-1.09
2023-03-16,East,Office Supplies,2,508.63,107.38
2023-03-16,West,Office Supplies,6,352.05,33.19
2023-03-16,South,Office Supplies,1,51.53,0.32
2023-03-16,East,Office Supplies,2,210.74,-13.8
2023-03-16,Central,Office Supplies,5,262.67,90.32
2023-03-16,Central,Office Supplies,1,169.78,12.85
2023-03-17,South,Office Supplies,9,35.35,8.19
2023-03-17,South,Office Supplies,1,578.99,173.44
2023-03-19,East,Furniture,1,162.37,-7.67
2023-03-19,East,Office Supplies,3,496.5,147.67
2023-03-19,East,Furniture,8,144.68,33.89
2023-03-19,Central,Furniture,8,223.39,-15.11
2023-03-19,West,Furniture,7,477.41,-26.14
2023-03-20,West,Furniture,4,158.8,51.47
2023-03-21,East,Furniture,9,244.46,44.49
2023-03-22,East,Technology,3,34.87,4.05
2023-03-22,East,Furniture,8,566.36,107.13
2023-03-22,West,Office Supplies,3,63.94,4.66
2023-03-22,South,Office Supplies,2,205.66,5.21
2023-03-23,West,Technology,7,243.37,-17.25
2023-03-23,East,Office Supplies,5,54.1,14.3
2023-03-24,West,Office Supplies,1,70.4,5.04
2023-03-25,East,Office Supplies,8,262.17,-17.69
2023-03-25,East,Technology,4,180.4,-10.26
2023-03-25,West,Technology,1,314.12,-25.09
2023-03-25,West,Furniture,9,149.22,-0.14
2023-03-25,East,Furniture,1,50.68,2.87
2023-03-25,Central,Technology,9,78.91,27.43
2023-03-26,West,Furniture,7,516.75,-28.65
2023-03-26,West,Office Supplies,6,463.17,142.7
2023-03-27,West,Technology,2,189.51,-0.35
2023-03-27,West,Office Supplies,7,252.19,-1.41
2023-03-27,West,Office Supplies,9,213.13,37.13
2023-03-27,East,Furniture,4,526.23,-48.1
2023-03-27,West,Furniture,8,318.53,-25.13
2023-03-28,West,Technology,4,228.9,68.3
2023-03-28,East,Office Supplies,9,80.58,3.88
2023-03-29,Central,Office Supplies,3,289.91,94.22
2023-03-29,West,Office Supplies,9,82.32,5.65
2023-03-29,South,Technology,3,156.16,9.78
2023-03-30,East,Furniture,7,118.81,-4.41
2023-03-30,East,Office Supplies,6,315.79,19.66
2023-03-30,East,Office Supplies,6,305.67,29.44
2023-03-31,West,Furniture,2,221.97,-12.15
2023-03-31,South,Furniture,1,309.82,1.89
2023-03-31,East,Technology,4,114.17,-6.05
2023-03-31,West,Furniture,6,144.29,44.56
2023-04-01,West,Technology,3,120.98,11.43
2023-04-02,East,Technology,8,176.33,-13.8
2023-04-02,Central,Technology,2,263.97,74.6
2023-04-02,East,Office Supplies,2,102.18,17.36
2023-04-02,West,Furniture,4,307.4,-2.76
2023-04-03,West,Office Supplies,8,563.95,135.84
2023-04-03,West,Office Supplies,5,293.97,3.32
2023-04-04,Central,Technology,4,179.06,-1.33
2023-04-05,West,Technology,3,332.75,54.01
2023-04-05,Central,Technology,4,67.49,11.88
2023-04-05,East,Furniture,1,289.7,6.9
2023-04-05,East,Furniture,4,397.63,-1.61
2023-04-06,East,Furniture,9,251.27,67.09
2023-04-06,East,Office Supplies,7,171.5,-4.39
2023-04-06,East,Technology,5,42.1,12.51
2023-04-06,West,Furniture,5,41.75,-3.64
2023-04-07,Central,Office Supplies,5,108.79,-1.25
2023-04-08,Central,Office Supplies,6,1164.62,220.46
2023-04-08,West,Furniture,6,94.84,5.58
2023-04-08,South,Office Supplies,8,108.33,5.55
2023-04-09,Central,Technology,9,93.22,13.9
2023-04-09,East,Office Supplies,6,102.34,27.57
2023-04-09,East,Office Supplies,6,366.62,58.46
2023-04-09,West,Furniture,4,395.56,120.76
2023-04-09,Central,Furniture,1,127.47,-0.88
2023-04-09,Central,Office Supplies,9,128.85,42.28
2023-04-09,Central,Office Supplies,1,199.71,29.98
2023-04-09,Central,Office Supplies,3,305.9,27.55
2023-04-09,East,Furniture,1,184.05,61.79
2023-04-09,East,Furniture,5,116.06,-7.01
2023-04-10,East,Technology,8,451.82,31.07
2023-04-10,South,Technology,6,148.51,37.63
2023-04-10,Central,Technology,6,111.47,-9.61
2023-04-12,West,Office Supplies,7,178.81,61.79
2023-04-12,Central,Office Supplies,2,588.2,171.68
2023-04-13,East,Technology,7,267.26,28.81
2023-04-13,South,Office Supplies,9,267.03,5.1
2023-04-13,South,Office Supplies,9,189.4,13.0
2023-04-13,Central,Furniture,3,486.58,132.29
2023-04-14,West,Furniture,7,300.7,74.97
2023-04-14,West,Furniture,1,421.78,53.02
2023-04-14,West,Technology,8,159.27,-4.87
2023-04-15,Central,Furniture,2,143.32,4.06
2023-04-16,Central,Office Supplies,5,310.52,13.95
2023-04-16,Central,Office Supplies,9,193.42,-3.22
2023-04-16,West,Technology,7,461.69,-26.23
2023-04-16,Central,Furniture,2,94.28,3.8
2023-04-16,Central,Technology,3,218.35,40.34
2023-04-17,West,Office Supplies,2,207.12,48.23
2023-04-17,West,Office Supplies,7,8.06,1.92
2023-04-17,West,Furniture,4,534.65,44.23
2023-04-17,Central,Technology,4,287.06,-22.0
2023-04-18,East,Furniture,9,439.79,31.12
2023-04-18,West,Technology,2,88.79,21.55
2023-04-19,Central,Furniture,1,82.74,16.97
2023-04-19,West,Technology,7,66.19,18.79
2023-04-19,West,Furniture,6,249.4,38.28
2023-04-21,West,Furniture,7,73.64,-4.54
2023-04-21,Central,Office Supplies,7,150.88,19.97
2023-04-21,East,Office Supplies,2,562.55,-52.3
2023-04-21,East,Technology,2,68.34,4.45
2023-04-22,West,Technology,6,286.81,0.54
2023-04-23,West,Office Supplies,9,214.66,72.8
2023-04-23,West,Furniture,6,733.75,175.07
2023-04-23,East,Office Supplies,5,64.72,0.88
2023-04-23,West,Furniture,9,170.05,-8.68
2023-04-23,West,Furniture,6,281.05,16.32
2023-04-23,West,Office Supplies,9,295.19,22.12
2023-04-23,East,Office Supplies,1,80.57,20.67
2023-04-24,Central,Technology,7,150.92,9.84
2023-04-24,Central,Furniture,2,297.61,38.68
2023-04-25,South,Furniture,8,451.65,55.79
2023-04-25,Central,Technology,1,365.53,8.97
2023-04-25,West,Technology,2,338.06,108.04
2023-04-26,East,Technology,1,156.38,48.13
2023-04-26,West,Furniture,4,218.97,34.99
2023-04-27,East,Technology,7,184.11,-4.39
2023-04-27,South,Technology,2,233.12,-17.2
2023-04-27,East,Technology,2,316.63,10.12
2023-04-27,Central,Technology,9,401.09,64.9
2023-04-27,Central,Furniture,2,101.01,15.8
2023-04-28,South,Technology,5,645.31,30.09
2023-04-28,West,Office Supplies,5,167.85,54.59
2023-04-28,East,Furniture,6,357.78,26.21
2023-04-28,Central,Furniture,1,64.18,13.54
2023-04-28,West,Office Supplies,1,349.88,85.47
2023-04-29,West,Office Supplies,3,128.84,2.95
2023-04-29,East,Furniture,6,171.72,15.95
2023-04-29,Central,Office Supplies,1,157.53,54.55
2023-04-30,South,Office Supplies,8,96.07,5.33
2023-04-30,South,Furniture,7,531.84,53.67
2023-04-30,Central,Office Supplies,1,161.36,51.4
2023-04-30,West,Technology,8,205.46,69.98
2023-04-30,Central,Technology,7,59.6,7.29
2023-05-01,West,Office Supplies,4,113.73,27.35
2023-05-01,East,Furniture,6,468.11,140.18
2023-05-02,Central,Technology,2,158.57,-8.89
2023-05-02,Central,Office Supplies,9,219.51,59.89
2023-05-02,East,Office Supplies,5,268.91,32.74
2023-05-02,South,Technology,1,269.95,9.6
2023-05-03,South,Furniture,6,331.34,-14.44
2023-05-04,Central,Furniture,2,499.23,106.0
2023-05-04,South,Office Supplies,9,450.08,4.8
2023-05-05,West,Technology,6,352.92,63.04
2023-05-06,West,Furniture,7,98.41,14.94
2023-05-06,South,Office Supplies,5,549.86,4.64
2023-05-06,Central,Office Supplies,4,68.3,-5.02
2023-05-06,West,Office Supplies,5,468.67,112.72
2023-05-07,Central,Office Supplies,7,229.14,40.55
2023-05-07,Central,Office Supplies,6,497.14,-12.21
2023-05-07,West,Furniture,3,75.7,-3.52
2023-05-08,East,Office Supplies,8,617.45,69.55
2023-05-08,West,Office Supplies,4,369.12,114.77
2023-05-08,South,Technology,6,59.05,11.49
2023-05-09,Central,Office Supplies,7,185.84,38.79
2023-05-10,Central,Furniture,4,141.34,10.12
2023-05-10,West,Office Supplies,8,134.02,18.15
2023-05-10,East,Office Supplies,9,417.32,68.75
2023-05-10,West,Technology,8,445.54,139.52
2023-05-10,Central,Technology,3,292.89,35.94
2023-05-11,South,Office Supplies,3,56.61,17.9
2023-05-11,South,Office Supplies,2,221.88,15.3
2023-05-11,Central,Technology,4,472.14,-2.65
2023-05-11,West,Office Supplies,4,268.22,85.72
2023-05-11,Central,Technology,6,148.88,-4.53
2023-05-12,South,Office Supplies,4,206.81,66.02
2023-05-12,East,Furniture,5,351.84,80.38
2023-05-13,South,Technology,4,231.25,-13.17
2023-05-13,West,Technology,4,282.57,-24.27
2023-05-13,East,Office Supplies,5,184.55,2.78
2023-05-13,West,Furniture,1,119.18,-11.72
2023-05-13,West,Technology,1,62.67,1.21
2023-05-14,East,Furniture,9,362.19,16.49
2023-05-14,West,Office Supplies,3,98.09,-6.55
2023-05-15,West,Office Supplies,6,234.55,-9.09
2023-05-15,Central,Technology,3,72.12,7.46
2023-05-17,Central,Furniture,5,55.88,18.83
2023-05-17,West,Technology,4,61.82,13.85
2023-05-17,South,Furniture,3,426.36,-7.3
2023-05-17,West,Office Supplies,3,65.91,-0.71
2023-05-18,Central,Furniture,4,629.72,-16.26
2023-05-19,South,Office Supplies,4,54.39,-1.07
2023-05-19,West,Furniture,6,232.07,30.88
2023-05-20,East,Office Supplies,9,170.77,53.72
2023-05-20,South,Office Supplies,8,111.97,12.63
2023-05-21,Central,Office Supplies,4,461.02,119.26
2023-05-21,Central,Technology,2,314.37,83.39
2023-05-21,East,Office Supplies,5,338.7,1.89
2023-05-22,South,Furniture,1,227.33,35.72
2023-05-23,South,Office Supplies,4,103.77,1.62
2023-05-23,West,Office Supplies,2,200.05,13.67
2023-05-23,East,Office Supplies,7,466.86,64.02
2023-05-23,Central,Technology,9,174.36,12.48
2023-05-24,West,Technology,7,102.83,3.57
2023-05-24,Central,Office Supplies,5,76.64,25.88
2023-05-24,West,Furniture,5,203.57,11.27
2023-05-24,West,Furniture,3,135.55,10.89
2023-05-24,West,Furniture,8,172.36,-2.52
2023-05-25,West,Office Supplies,9,504.11,140.59
2023-05-25,Central,Office Supplies,1,12.64,3.4
2023-05-25,Central,Office Supplies,5,194.06,64.76
2023-05-25,Central,Office Supplies,5,351.68,99.26
2023-05-25,South,Furniture,9,169.34,8.65
2023-05-25,West,Office Supplies,4,114.0,35.14
2023-05-26,West,Office Supplies,2,89.14,14.4
2023-05-26,West,Technology,4,199.89,48.63
2023-05-26,West,Office Supplies,5,626.01,67.34
2023-05-26,East,Technology,9,119.52,12.75
2023-05-27,East,Office Supplies,1,254.21,7.18
2023-05-27,East,Furniture,2,53.93,13.0
2023-05-27,East,Office Supplies,6,126.56,38.76
2023-05-27,South,Furniture,4,488.45,72.88
2023-05-28,Central,Technology,9,230.06,12.88
2023-05-28,West,Furniture,5,168.96,47.48
2023-05-28,West,Furniture,1,154.47,41.66
2023-05-29,Central,Office Supplies,7,343.11,11.87
2023-05-29,East,Technology,7,111.31,8.28
2023-05-30,West,Furniture,2,143.59,19.86
2023-05-31,West,Technology,9,82.94,15.38
2023-05-31,West,Office Supplies,6,422.61,25.87
2023-05-31,South,Office Supplies,1,117.54,9.0
2023-06-01,East,Office Supplies,3,149.11,45.18
2023-06-01,East,Furniture,5,27.64,-0.11
2023-06-01,West,Office Supplies,7,75.54,-2.68
2023-06-02,South,Technology,9,122.6,24.54
2023-06-02,East,Office Supplies,3,56.16,14.49
2023-06-02,West,Technology,4,266.69,89.96
2023-06-02,West,Furniture,1,621.42,41.94
2023-06-03,South,Furniture,1,237.21,-13.09
2023-06-03,West,Technology,1,539.65,44.19
2023-06-03,East,Office Supplies,5,101.37,26.43
2023-06-04,Central,Technology,5,132.9,38.25
2023-06-05,East,Technology,7,30.69,9.04
2023-06-05,Central,Office Supplies,8,545.88,128.56
2023-06-06,West,Technology,9,217.05,61.97
2023-06-06,South,Furniture,8,79.95,6.22
2023-06-06,East,Office Supplies,9,170.8,49.39
2023-06-06,South,Office Supplies,6,24.16,6.7
2023-06-06,Central,Furniture,5,163.68,53.01
2023-06-07,East,Technology,4,43.33,5.01
2023-06-07,Central,Office Supplies,4,53.44,-0.93
2023-06-08,East,Office Supplies,7,195.73,33.38
2023-06-08,East,Technology,7,212.78,68.43
2023-06-08,West,Furniture,9,232.07,36.76
2023-06-09,West,Office Supplies,4,465.24,156.09
2023-06-09,West,Furniture,1,521.55,11.82
2023-06-09,West,Technology,4,66.31,2.0
2023-06-09,Central,Office Supplies,2,170.69,-10.96
2023-06-10,East,Office Supplies,1,460.81,-35.02
2023-06-10,South,Office Supplies,7,245.21,0.83
2023-06-10,West,Furniture,1,164.68,25.93
2023-06-10,Central,Office Supplies,1,477.48,122.62
2023-06-10,Central,Furniture,8,368.67,14.89
2023-06-10,Central,Office Supplies,9,700.5,131.11
2023-06-11,East,Technology,9,236.26,-12.79
2023-06-11,West,Furniture,4,32.34,10.2
2023-06-11,West,Technology,4,128.01,22.86
2023-06-12,Central,Office Supplies,2,143.35,-5.2
2023-06-12,East,Office Supplies,3,107.29,0.48
2023-06-12,East,Office Supplies,5,35.28,5.53
2023-06-12,Central,Office Supplies,6,173.16,-14.7
2023-06-14,East,Office Supplies,8,41.91,2.53
2023-06-14,South,Technology,2,73.63,25.56
2023-06-14,South,Office Supplies,8,45.51,-1.37
2023-06-14,East,Technology,3,162.47,8.54
2023-06-15,West,Office Supplies,4,218.28,25.22
2023-06-15,Central,Office Supplies,4,56.0,0.62
2023-06-15,East,Office Supplies,5,142.8,29.03
2023-06-16,East,Furniture,9,40.91,10.3
2023-06-16,East,Office Supplies,8,153.07,-7.06
2023-06-17,South,Office Supplies,3,330.61,14.27
2023-06-17,West,Technology,4,123.48,42.07
2023-06-17,East,Furniture,2,28.88,-0.29
2023-06-17,West,Office Supplies,4,38.29,3.43
2023-06-17,South,Technology,3,132.59,2.49
2023-06-19,West,Office Supplies,1,427.37,15.71
2023-06-19,East,Office Supplies,4,113.88,-10.98
2023-06-19,West,Office Supplies,8,79.77,5.34
2023-06-19,West,Technology,7,51.27,8.03
2023-06-20,East,Technology,9,234.19,-12.53
2023-06-20,West,Technology,1,200.9,20.35
2023-06-21,South,Office Supplies,4,232.85,41.13
2023-06-21,East,Furniture,2,119.21,25.43
2023-06-21,East,Office Supplies,8,140.24,39.9
2023-06-22,Central,Office Supplies,4,74.72,-0.34
2023-06-22,West,Office Supplies,6,118.98,37.18
2023-06-22,Central,Furniture,1,169.82,11.66
2023-06-23,West,Technology,6,238.52,15.65
2023-06-24,South,Technology,4,174.68,18.38
2023-06-25,West,Office Supplies,4,266.91,87.59
2023-06-25,Central,Office Supplies,5,589.78,105.93
2023-06-26,West,Furniture,7,195.21,-8.98
2023-06-26,East,Furniture,3,202.86,35.94
2023-06-26,Central,Office Supplies,6,16.16,3.88
2023-06-27,East,Furniture,5,124.44,27.04
2023-06-27,East,Office Supplies,5,208.15,32.13
2023-06-28,East,Office Supplies,6,148.79,-7.41
2023-06-28,East,Furniture,9,86.88,-5.55
2023-06-29,West,Office Supplies,4,261.6,-22.17
2023-06-29,East,Technology,3,403.55,43.54
2023-06-30,South,Furniture,7,118.29,37.35
2023-07-01,West,Furniture,6,125.01,-1.74
2023-07-01,West,Furniture,4,453.09,152.67
2023-07-01,East,Office Supplies,9,105.74,33.23
2023-07-01,Central,Technology,8,371.21,70.37
2023-07-02,East,Office Supplies,6,118.76,33.83
2023-07-02,West,Furniture,1,41.45,10.59
2023-07-03,East,Office Supplies,4,404.19,-8.78
2023-07-03,East,Office Supplies,8,151.89,40.64
2023-07-03,East,Office Supplies,5,278.29,-1.74
2023-07-04,East,Furniture,2,291.04,-4.57
2023-07-05,East,Furniture,1,194.57,61.57
2023-07-05,Central,Furniture,3,263.17,38.4
2023-07-06,South,Technology,6,206.27,7.79
2023-07-06,Central,Furniture,2,29.5,4.65
2023-07-06,Central,Furniture,9,724.65,82.99
2023-07-07,West,Technology,9,525.25,-11.29
2023-07-07,West,Furniture,2,83.74,-4.52
2023-07-08,West,Technology,3,303.63,-1.14
2023-07-09,West,Furniture,6,41.41,-2.16
2023-07-09,West,Office Supplies,2,128.6,37.16
2023-07-09,Central,Office Supplies,2,970.81,167.28
2023-07-09,East,Office Supplies,3,4.5,-0.42
2023-07-09,Central,Furniture,3,9.13,2.03
2023-07-10,West,Furniture,3,311.19,-4.66
2023-07-10,Central,Office Supplies,4,123.87,22.5
